step,type,amount,nameOrig,nameDest,isFraud,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
103,PAYMENT,36873.03,C77583922197,C10473685161,0,86385.22,49512.19,10279.29,47152.32
436,TRANSFER,19453.8,C26380922247,M11007974765,0,87576.24,68122.44,152362.58,171816.38
271,PAYMENT,44741.7,C26577746886,C68595818377,0,156702.36,111960.66,137859.77,182601.47
107,TRANSFER,62463.93,C11072523831,M18030432798,0,124036.94,61573.01,66509.23,128973.16
72,PAYMENT,13916.34,C83592126339,M47746261014,0,128355.87,114439.53,73025.72,86942.06
701,TRANSFER,97281.31,C95029775085,M82794359887,0,153732.13,56450.82,174274.2,271555.51
21,TRANSFER,44328.67,C41046923226,C44159624627,0,41382.22,0,290610.33,334939
615,PAYMENT,94796.14,C83682359718,C59014428442,1,92885.08,0,237879.6,332675.74
122,PAYMENT,13466.76,C21266174616,C23657980317,0,171036.65,157569.89,150041.15,163507.91
467,PAYMENT,76721.83,C96230410701,C25249865555,0,141140.66,64418.83,172225.49,248947.32
215,CASH_OUT,61764.19,C57437485486,C71478404807,0,176019,114254.81,172244.84,234009.03
331,PAYMENT,82006.59,C40523119902,M78670025429,1,90644.43,8637.84,210449.36,292455.95
459,TRANSFER,60068.19,C27180903760,C27433403558,0,153175.9,93107.71,101195.52,161263.71
88,CASH_OUT,96283.7,C55364455291,C43373560151,0,53197.12,0,202821.27,299104.97
373,TRANSFER,62693.56,C75425258051,C31264653812,0,173557.96,110864.4,76302.76,138996.32
100,PAYMENT,78460.63,C50810006637,M79969980282,0,59336.72,0,240885.62,319346.25
664,CASH_OUT,87758.3,C47359894833,C73426454394,0,68119.87,0,282106.78,369865.08
131,PAYMENT,71458.63,C93548948485,C19184118455,0,143532.85,72074.22,168286.36,239744.99
662,PAYMENT,52424.14,C53970664116,C33039460254,0,149551.75,97127.61,21438.17,73862.31
309,CASH_OUT,27282.44,C82887325032,C33609720933,1,10520.48,0,213545.81,240828.25
344,TRANSFER,85449.41,C74987072435,C67839080330,0,30034.2,0,278238.34,363687.75
